post_id,raw_slug,reason,details
4,"woocommerce-placeholder-3",not_gd_place,"attachment"
23,"woocommerce-placeholder-2",not_gd_place,"attachment"
29,"details",not_gd_place,"nav_menu_item"
76,"model-behandlung_spa_300",not_gd_place,"attachment"
77,"shpping",not_gd_place,"attachment"
78,"columns",not_gd_place,"attachment"
80,"logo-23",not_gd_place,"attachment"
81,"logo-21",not_gd_place,"attachment"
82,"logo-24",not_gd_place,"attachment"
83,"logo-5-2",not_gd_place,"attachment"
84,"logo-7-2",not_gd_place,"attachment"
85,"logo-9-2",not_gd_place,"attachment"
86,"logo-8-2",not_gd_place,"attachment"
87,"logo-11",not_gd_place,"attachment"
93,"hello-image-444",not_gd_place,"attachment"
97,"image-vid-450",not_gd_place,"attachment"
117,"usb-c-cable",not_gd_place,"product"
122,"174711deea5fdd784ec3ba18d4243a99",not_gd_place,"attachment"
123,"logo_transparent_background_thin",not_gd_place,"attachment"
124,"174711deea5fdd784ec3ba18d4243a99-2",not_gd_place,"attachment"
125,"tractor-385681_1920",not_gd_place,"attachment"
128,"logomakr_0jxtp7",not_gd_place,"attachment"
134,"tractor-385681_1920-2",not_gd_place,"attachment"
136,"logo_transparent_background",not_gd_place,"attachment"
137,"white_logo_transparent_background",not_gd_place,"attachment"
138,"white_thin_logo_transparent_background",not_gd_place,"attachment"
139,"icon_transparent_background",not_gd_place,"attachment"
140,"logo_thin_transparent_background",not_gd_place,"attachment"
141,"agriculture-692515",not_gd_place,"attachment"
142,"agriculture-main",not_gd_place,"attachment"
143,"agriculture-main-2",not_gd_place,"attachment"
168,"brooke-cagle-norsyxmhgpi-unsplash-100x100",not_gd_place,"attachment"
169,"timothy-barlin-jokb3tlcbjc-unsplash-100x100",not_gd_place,"attachment"
170,"170",not_gd_place,"listingpro_agent"
194,"noimage",not_gd_place,"attachment"
195,"white_icon_transparent_background",not_gd_place,"attachment"
196,"white_icon_transparent_background-2",not_gd_place,"attachment"
203,"logo-speaker-2",not_gd_place,"attachment"
219,"jeremy-bezanger-yh5m-4abiz0-unsplash",not_gd_place,"attachment"
220,"pexels-anton-4132700",not_gd_place,"attachment"
221,"pexels-matthias-zomer-914912",not_gd_place,"attachment"
222,"remote-control",not_gd_place,"product"
223,"noimage380x340",not_gd_place,"attachment"
224,"noimage380x340-2",not_gd_place,"attachment"
244,"temp-12",not_gd_place,"attachment"
322,"video",not_gd_place,"attachment"
405,"harvest-1408450_1280",not_gd_place,"attachment"
406,"harvest-1523793_1280",not_gd_place,"attachment"
407,"claas-2147239_1280",not_gd_place,"attachment"
408,"552813_404270412935007_1287876212_n",not_gd_place,"attachment"
409,"circle_icon_transparent_background",not_gd_place,"attachment"
411,"20180601_150948-1067x800",not_gd_place,"attachment"
422,"jeremy-bezanger-qhyq1230z4qzfo-unsplash",not_gd_place,"attachment"
437,"3-andres-jasso-ayaic1my13i-unsplash",not_gd_place,"attachment"
442,"home-2",not_gd_place,"attachment"
443,"home-3",not_gd_place,"attachment"
444,"home-4",not_gd_place,"attachment"
445,"home-5",not_gd_place,"attachment"
446,"home-6",not_gd_place,"attachment"
448,"listingpro",not_gd_place,"custom_css"
481,"jeremy-bezanger-yh5m-4abiz0-unsplash-2",not_gd_place,"attachment"
482,"howard-bouchevereau-876c-f8ybrg-unsplash-1",not_gd_place,"attachment"
488,"white_icon_transparent_background-3",not_gd_place,"attachment"
503,"ivan-bandura-lzchy18plyyo-unsplash",not_gd_place,"attachment"
514,"1-andres-jasso-z_j8r7qsues-unsplash",not_gd_place,"attachment"
515,"tron-le-0xgeoj9p-8u-unsplash",not_gd_place,"attachment"
532,"home-7",not_gd_place,"attachment"
562,"p2exels-matthias-zomer-914912-1",not_gd_place,"attachment"
566,"team-3",not_gd_place,"attachment"
573,"andres-jasso-z_j8r7qsues-unsplash",not_gd_place,"attachment"
575,"dan-smedley-8gn01v0nrou-unsplash",not_gd_place,"attachment"
576,"leo-lei-k1kc-ce_xeq-unsplash",not_gd_place,"attachment"
578,"andres-jasso-z_j8r7q1122sues-unsplash",not_gd_place,"attachment"
639,"james-yarema-sz6w31auvnhq-unsplash",not_gd_place,"attachment"
657,"matt-birchler-tkcc17v8b_8c-unsplash",not_gd_place,"attachment"
667,"james-1y3arema-jowxa6ju58i-unsplash",not_gd_place,"attachment"
681,"ilan-olivares-12323ghczd3_dr4q-unsplash",not_gd_place,"attachment"
702,"pay_copyright",not_gd_place,"attachment"
706,"faq",not_gd_place,"nav_menu_item"
707,"reviews",not_gd_place,"nav_menu_item"
708,"returns",not_gd_place,"nav_menu_item"
709,"affiliates",not_gd_place,"nav_menu_item"
710,"about-us",not_gd_place,"nav_menu_item"
711,"affiliate",not_gd_place,"nav_menu_item"
712,"reviews-2",not_gd_place,"nav_menu_item"
713,"shop",not_gd_place,"nav_menu_item"
723,"homepod",not_gd_place,"attachment"
737,"video-button",not_gd_place,"attachment"
741,"logo-icn",not_gd_place,"attachment"
748,"reviews-3",not_gd_place,"nav_menu_item"
750,"affiliate-2",not_gd_place,"nav_menu_item"
755,"white-logo",not_gd_place,"attachment"
827,"product-3",not_gd_place,"attachment"
828,"product-2",not_gd_place,"attachment"
846,"jonas-leupe-mifegejbe6u-unsplash-2",not_gd_place,"attachment"
847,"jonas-leupe-xauqy9vof24-unsplash",not_gd_place,"attachment"
848,"naomi-hebert-mp0bgas_d1c-unsplash",not_gd_place,"attachment"
849,"sebastian-scholz-nuki-fh3dtg6qx4q-unsplash",not_gd_place,"attachment"
850,"sebastian-scholz-nuki-ijksskfeqrm-unsplash",not_gd_place,"attachment"
851,"sidekix-media-_ak42tqrycw-unsplash",not_gd_place,"attachment"
920,"proxyclick-v1isitor-management-system-l90zrbwvcoe-unsplash",not_gd_place,"attachment"
934,"austin-distel-wd1lrb9o12eeo-unsplash",not_gd_place,"attachment"
935,"team-4",not_gd_place,"attachment"
936,"team-3-2",not_gd_place,"attachment"
937,"team-2",not_gd_place,"attachment"
938,"team-1",not_gd_place,"attachment"
939,"home-8",not_gd_place,"page"
973,"blog-jpeg",not_gd_place,"attachment"
974,"home-jpeg",not_gd_place,"attachment"
977,"reviews-jpeg",not_gd_place,"attachment"
984,"about-jpeg",not_gd_place,"attachment"
999,"contact-jpeg",not_gd_place,"attachment"
1019,"listingpro-child",not_gd_place,"custom_css"
1021,"wp-global-styles-kadence",not_gd_place,"wp_global_styles"
1059,"pennsylvania-139655_1280",not_gd_place,"attachment"
1064,"combine-harvester-1907864_1280",not_gd_place,"attachment"
1074,"contact",not_gd_place,"wpforms"
1119,"help1",not_gd_place,"attachment"
1128,"help2",not_gd_place,"attachment"
1137,"help3",not_gd_place,"attachment"
1143,"help4",not_gd_place,"attachment"
1147,"requesting-listing-help",not_gd_place,"wpforms"
1376,"hartmans-butcher-shop",not_gd_place,"listing"
1377,"dms-custom-harvesting",not_gd_place,"listing"
1378,"quakertown-veterinary-clinic",not_gd_place,"listing"
1379,"dunnes-towing",not_gd_place,"listing"
1380,"ag-industrial",not_gd_place,"listing"
1381,"gearharts-meats",not_gd_place,"listing"
1382,"dairyside-veterinary-services",not_gd_place,"listing"
1383,"weyandt-sons-livestock",not_gd_place,"listing"
1384,"walt-hillman-trucking",not_gd_place,"listing"
1385,"hines-equipment",not_gd_place,"listing"
1386,"miller-run-custom-butchering",not_gd_place,"listing"
1387,"veterinary-medical-center",not_gd_place,"listing"
1388,"antisdel-farm",not_gd_place,"listing"
1389,"leaders-farm-equipment",not_gd_place,"listing"
1390,"schnurs-custom-meat-market",not_gd_place,"listing"
1391,"stuchal-custom-ag-service",not_gd_place,"listing"
1392,"butler-veterinary-associates-and-emergency-center",not_gd_place,"listing"
1393,"mcclymonds-supply-transit-co-inc",not_gd_place,"listing"
1394,"alberts-garage-farm-equipment",not_gd_place,"listing"
1395,"mountain-man-custom-butchering",not_gd_place,"listing"
1396,"sunnyside-custom-farming",not_gd_place,"listing"
1397,"century-equine-veterinary-services-llc",not_gd_place,"listing"
1398,"al-horse-transport",not_gd_place,"listing"
1399,"charles-w-karper-inc",not_gd_place,"listing"
1400,"franklin-tractor-equipment",not_gd_place,"listing"
1401,"heplers-meats",not_gd_place,"listing"
1402,"fox-run-equine-center",not_gd_place,"listing"
1403,"ronald-d-rankin",not_gd_place,"listing"
1404,"terry-w-kahle-equipment",not_gd_place,"listing"
1405,"zion-meats-custom-butchering",not_gd_place,"listing"
1406,"clearfield-veterinary-hospital",not_gd_place,"listing"
1407,"four-seasons-meat-processing",not_gd_place,"listing"
1408,"potter-county-veterinary-clinic",not_gd_place,"listing"
1409,"milestone-equine-farm-transportation",not_gd_place,"listing"
1410,"rev-hoopes-trucking",not_gd_place,"listing"
